# Android 10 (API 29) - @RequiresPermission Annotations
# Total methods: 945
# Format: class_name | method_name | permissions

android.accessibilityservice.AccessibilityService|dispatchGesture|android.permission.USE_FINGERPRINT
android.app.CallbackEntry|isPersistentVrModeEnabled|android.permission.ACCESS_VR_STATE, android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|isVrModeEnabled|android.permission.ACCESS_VR_STATE, android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|registerVrStateCallback|android.permission.ACCESS_VR_STATE, android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|setAndBindVrCompositor|android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|setPersistentVrModeEnabled|android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|setStandbyEnabled|android.permission.ACCESS_VR_MANAGER
android.app.CallbackEntry|setVr2dDisplayProperties|android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|setVrInputMethod|android.permission.RESTRICTED_VR_ACCESS
android.app.CallbackEntry|unregisterVrStateCallback|android.permission.ACCESS_VR_STATE, android.permission.RESTRICTED_VR_ACCESS
android.app.Globals|clear|android.permission.SET_WALLPAPER
android.app.Globals|clear|android.permission.SET_WALLPAPER
android.app.Globals|clearWallpaper|android.permission.SET_WALLPAPER
android.app.Globals|clearWallpaper|android.permission.INTERACT_ACROSS_USERS_FULL
android.app.Globals|getFastDrawable|android.permission.READ_EXTERNAL_STORAGE
android.app.Globals|getWallpaperFile|android.permission.READ_EXTERNAL_STORAGE
android.app.Globals|peekFastDrawable|android.permission.READ_EXTERNAL_STORAGE
android.app.Globals|setBitmap|android.permission.SET_WALLPAPER
android.app.Globals|setBitmap|android.permission.SET_WALLPAPER
android.app.Globals|setBitmap|android.permission.SET_WALLPAPER
android.app.Globals|setDisplayPadding|android.permission.SET_WALLPAPER_HINTS
android.app.Globals|setResource|android.permission.SET_WALLPAPER
android.app.Globals|setResource|android.permission.SET_WALLPAPER
android.app.Globals|setStream|android.permission.SET_WALLPAPER
android.app.Globals|setStream|android.permission.SET_WALLPAPER
android.app.Globals|setStream|android.permission.SET_WALLPAPER
android.app.Globals|setWallpaperComponent|android.permission.SET_WALLPAPER_COMPONENT
android.app.Globals|setWallpaperComponent|android.permission.SET_WALLPAPER_COMPONENT
android.app.KeyguardLock|disableKeyguard|android.permission.DISABLE_KEYGUARD
android.app.KeyguardLock|reenableKeyguard|android.permission.DISABLE_KEYGUARD
android.app.KeyguardManager|getPrivateNotificationsAllowed|android.permission.CONTROL_KEYGUARD_SECURE_NOTIFICATIONS
android.app.KeyguardManager|setPrivateNotificationsAllowed|android.permission.CONTROL_KEYGUARD_SECURE_NOTIFICATIONS
android.app.Notification|getIcon|android.permission.NOTIFICATION_DURING_SETUP, android.permission.SUBSTITUTE_NOTIFICATION_APP_NAME
android.app.OnOpChangedInternalListener|getHistoricalOps|android.permission.GET_APP_OPS_STATS
android.app.OnOpChangedInternalListener|getHistoricalOpsFromDiskRaw|android.permission.MANAGE_APPOPS
android.app.OnOpChangedInternalListener|getPackagesForOps|android.permission.GET_APP_OPS_STATS
android.app.OnOpChangedInternalListener|reloadNonHistoricalState|android.permission.MANAGE_APPOPS
android.app.OnOpChangedInternalListener|resetAllModes|android.permission.MANAGE_APP_OPS_MODES
android.app.OnOpChangedInternalListener|setMode|android.permission.MANAGE_APP_OPS_MODES
android.app.OnOpChangedInternalListener|setMode|android.permission.MANAGE_APP_OPS_MODES
android.app.OnOpChangedInternalListener|setRestriction|android.permission.MANAGE_APP_OPS_MODES
android.app.OnOpChangedInternalListener|setUidMode|android.permission.MANAGE_APP_OPS_MODES
android.app.OnOpChangedInternalListener|setUidMode|android.permission.MANAGE_APP_OPS_MODES
android.app.RunningAppProcessInfo|addOnUidImportanceListener|android.permission.PACKAGE_USAGE_STATS
android.app.RunningAppProcessInfo|dumpPackageState|android.permission.DUMP
android.app.RunningAppProcessInfo|forceStopPackage|android.permission.FORCE_STOP_PACKAGES
android.app.RunningAppProcessInfo|getCurrentUser|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.INTERACT_ACROSS_USERS
android.app.RunningAppProcessInfo|killBackgroundProcesses|android.permission.KILL_BACKGROUND_PROCESSES
android.app.RunningAppProcessInfo|killUid|android.permission.KILL_UID
android.app.RunningAppProcessInfo|removeOnUidImportanceListener|android.permission.PACKAGE_USAGE_STATS
android.app.RunningAppProcessInfo|scheduleApplicationInfoChanged|android.permission.CHANGE_CONFIGURATION
android.app.RunningAppProcessInfo|setPersistentVrThread|android.permission.RESTRICTED_VR_ACCESS
android.app.RunningAppProcessInfo|switchUser|android.permission.MANAGE_USERS
android.app.StackInfo|clearApplicationUserData|android.permission.CLEAR_APP_USER_DATA, android.permission.ACCESS_INSTANT_APPS
android.app.StatusBarManager|getDisableInfo|android.permission.STATUS_BAR
android.app.StatusBarManager|setDisabledForSetup|android.permission.STATUS_BAR
android.app.TaskSnapshot|moveTaskToFront|android.permission.REORDER_TASKS
android.app.TaskSnapshot|moveTaskToFront|android.permission.REORDER_TASKS
android.app.admin.DevicePolicyManager|onInstallUpdateError|android.permission.REQUEST_PASSWORD_COMPLEXITY
android.app.admin.InstallSystemUpdateCallback|checkDeviceIdentifierAccess|android.permission.MANAGE_USERS, android.permission.INTERACT_ACROSS_USERS
android.app.admin.InstallSystemUpdateCallback|getDeviceOwnerComponentOnAnyUser|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|getDeviceOwnerNameOnAnyUser|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|getDeviceOwnerUserId|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|getPasswordComplexity|android.permission.REQUEST_PASSWORD_COMPLEXITY
android.app.admin.InstallSystemUpdateCallback|getUserProvisioningState|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|isDeviceManaged|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|isDeviceProvisioned|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|isDeviceProvisioningConfigApplied|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|isManagedKiosk|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|isUnattendedManagedKiosk|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|notifyPendingSystemUpdate|android.permission.NOTIFY_PENDING_SYSTEM_UPDATE
android.app.admin.InstallSystemUpdateCallback|notifyPendingSystemUpdate|android.permission.NOTIFY_PENDING_SYSTEM_UPDATE
android.app.admin.InstallSystemUpdateCallback|packageHasActiveAdmins|android.permission.INTERACT_ACROSS_USERS_FULL
android.app.admin.InstallSystemUpdateCallback|setActiveProfileOwner|android.permission.MANAGE_DEVICE_ADMINS
android.app.admin.InstallSystemUpdateCallback|setDeviceProvisioningConfigApplied|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|setOrganizationColorForUser|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|setPermittedCrossProfileNotificationListeners|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|setPermittedInputMethods|android.permission.MANAGE_USERS
android.app.admin.InstallSystemUpdateCallback|setProfileOwnerCanAccessDeviceIds|android.permission.GRANT_PROFILE_OWNER_DEVICE_IDS_ACCESS
android.app.backup.for|backupNow|android.permission.BACKUP
android.app.backup.for|beginRestoreSession|android.permission.BACKUP
android.app.backup.for|cancelBackups|android.permission.BACKUP
android.app.backup.for|getAvailableRestoreToken|android.permission.BACKUP
android.app.backup.for|getConfigurationIntent|android.permission.BACKUP
android.app.backup.for|getCurrentTransport|android.permission.BACKUP
android.app.backup.for|getCurrentTransportComponent|android.permission.BACKUP
android.app.backup.for|getDataManagementIntent|android.permission.BACKUP
android.app.backup.for|getDataManagementIntentLabel|android.permission.BACKUP
android.app.backup.for|getDataManagementLabel|android.permission.BACKUP
android.app.backup.for|getDestinationString|android.permission.BACKUP
android.app.backup.for|isAppEligibleForBackup|android.permission.BACKUP
android.app.backup.for|isBackupEnabled|android.permission.BACKUP
android.app.backup.for|isBackupServiceActive|android.permission.BACKUP
android.app.backup.for|listAllTransports|android.permission.BACKUP
android.app.backup.for|requestBackup|android.permission.BACKUP
android.app.backup.for|requestBackup|android.permission.BACKUP
android.app.backup.for|selectBackupTransport|android.permission.BACKUP
android.app.backup.for|selectBackupTransport|android.permission.BACKUP
android.app.backup.for|setAncestralSerialNumber|android.permission.BACKUP
android.app.backup.for|setAutoRestore|android.permission.BACKUP
android.app.backup.for|setBackupEnabled|android.permission.BACKUP
android.app.backup.for|updateTransportAttributes|android.permission.BACKUP
android.app.backup.for|updateTransportAttributes|android.permission.BACKUP
android.app.have|setTimeZone|android.permission.SET_TIME_ZONE
android.app.is|exitKeyguardSecurely|android.permission.DISABLE_KEYGUARD
android.app.is|requestDismissKeyguard|android.permission.SHOW_KEYGUARD_MESSAGE
android.app.job.Builder|setPersisted|android.permission.RECEIVE_BOOT_COMPLETED
android.app.job.JobScheduler|cancel|android.permission.UPDATE_DEVICE_STATS
android.app.object|set|android.permission.UPDATE_DEVICE_STATS
android.app.object|set|android.permission.UPDATE_DEVICE_STATS
android.app.object|setTime|android.permission.SET_TIME
android.app.role.RoleControllerManager|isApplicationQualifiedForRole|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleControllerManager|isRoleVisible|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleManager|addOnRoleHoldersChangedListenerAsUser|android.permission.OBSERVE_ROLE_HOLDERS
android.app.role.RoleManager|addRoleHolderAsUser|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleManager|clearRoleHoldersAsUser|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleManager|getRoleHolders|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleManager|getRoleHoldersAsUser|android.permission.MANAGE_ROLE_HOLDERS
android.app.role.RoleManager|removeOnRoleHoldersChangedListenerAsUser|android.permission.OBSERVE_ROLE_HOLDERS
android.app.role.RoleManager|removeRoleHolderAsUser|android.permission.MANAGE_ROLE_HOLDERS
android.app.such|addHistoricalOps|android.permission.MANAGE_APPOPS
android.app.such|clearHistory|android.permission.MANAGE_APPOPS
android.app.such|isOperationActive|android.permission.WATCH_APPOPS
android.app.such|offsetHistory|android.permission.MANAGE_APPOPS
android.app.such|resetHistoryParameters|android.permission.MANAGE_APPOPS
android.app.such|setHistoryParameters|android.permission.MANAGE_APPOPS
android.app.such|startWatchingActive|android.permission.WATCH_APPOPS
android.app.such|startWatchingMode|android.permission.WATCH_APPOPS
android.app.such|startWatchingMode|android.permission.WATCH_APPOPS
android.app.such|startWatchingNoted|android.permission.WATCH_APPOPS
android.app.trust.TrustManager|clearAllBiometricRecognized|android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
android.app.trust.TrustManager|isTrustUsuallyManaged|android.permission.TRUST_LISTENER
android.app.trust.TrustManager|setDeviceLockedForUser|android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
android.app.trust.TrustManager|unlockedByBiometricForUser|android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
android.app.usage.UsageStatsManager|getAppStandbyBuckets|android.permission.PACKAGE_USAGE_STATS
android.app.usage.UsageStatsManager|registerAppUsageLimitObserver|android.permission.OBSERVE_APP_USAGE, android.permission.SUSPEND_APPS
android.app.usage.UsageStatsManager|registerAppUsageObserver|android.permission.OBSERVE_APP_USAGE
android.app.usage.UsageStatsManager|registerUsageSessionObserver|android.permission.OBSERVE_APP_USAGE
android.app.usage.UsageStatsManager|setAppStandbyBucket|android.permission.CHANGE_APP_IDLE_STATE, android.permission.PACKAGE_USAGE_STATS
android.app.usage.UsageStatsManager|setAppStandbyBuckets|android.permission.CHANGE_APP_IDLE_STATE
android.app.usage.UsageStatsManager|unregisterAppUsageLimitObserver|android.permission.OBSERVE_APP_USAGE, android.permission.SUSPEND_APPS
android.app.usage.UsageStatsManager|unregisterAppUsageObserver|android.permission.OBSERVE_APP_USAGE
android.app.usage.UsageStatsManager|unregisterUsageSessionObserver|android.permission.OBSERVE_APP_USAGE
android.app.usage.UsageStatsManager|whitelistAppTemporarily|android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST
android.bluetooth.BluetoothA2dp|getActiveDevice|android.permission.BLUETOOTH
android.bluetooth.BluetoothA2dp|getPriority|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|cancelDiscovery|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|disable|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|enable|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|enableNoAutoConnect|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|getAddress|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getBluetoothClass|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|getBondedDevices|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getIoCapability|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|getLeIoCapability|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|getLeState|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getMaxConnectedAudioDevices|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getProfileConnectionState|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getScanMode|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|getState|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|isDiscovering|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|isEnabled|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|listenUsingInsecureRfcommWithServiceRecord|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|listenUsingRfcommWithServiceRecord|android.permission.BLUETOOTH
android.bluetooth.BluetoothAdapter|setBluetoothClass|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.BluetoothAdapter|setIoCapability|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.BluetoothAdapter|setLeIoCapability|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.BluetoothAdapter|setName|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter|startDiscovery|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|connect|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|disconnect|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|getActiveDevice|android.permission.BLUETOOTH
android.bluetooth.BluetoothHeadset|isInbandRingingEnabled|android.permission.BLUETOOTH
android.bluetooth.BluetoothHeadset|setActiveDevice|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|setPriority|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|startScoUsingVirtualVoiceCall|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHeadset|stopScoUsingVirtualVoiceCall|android.permission.BLUETOOTH_ADMIN
android.bluetooth.BluetoothHearingAid|adjustVolume|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getActiveDevices|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getDeviceMode|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getDeviceSide|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getHiSyncId|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getPriority|android.permission.BLUETOOTH
android.bluetooth.BluetoothHearingAid|getVolume|android.permission.BLUETOOTH
android.bluetooth.BluetoothManager|getConnectedDevices|android.permission.BLUETOOTH
android.bluetooth.BluetoothManager|getConnectionState|android.permission.BLUETOOTH
android.bluetooth.BluetoothManager|getDevicesMatchingConnectionStates|android.permission.BLUETOOTH
android.bluetooth.StateChangeCallbackWrapper|addOnMetadataChangedListener|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.StateChangeCallbackWrapper|listenUsingInsecureL2capCoc|android.permission.BLUETOOTH
android.bluetooth.StateChangeCallbackWrapper|listenUsingL2capCoc|android.permission.BLUETOOTH
android.bluetooth.StateChangeCallbackWrapper|removeOnMetadataChangedListener|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.StateChangeCallbackWrapper|startLeScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.StateChangeCallbackWrapper|startLeScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.StateChangeCallbackWrapper|stopLeScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.Unknown|getConnectedDevices|android.permission.BLUETOOTH
android.bluetooth.Unknown|getDevicesMatchingConnectionStates|android.permission.BLUETOOTH
android.bluetooth.Unknown|onServiceConnected|android.permission.BLUETOOTH
android.bluetooth.le.BluetoothLeScanner|startScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|startScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|startScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|startScanFromSource|android.permission.UPDATE_DEVICE_STATS, android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|startScanFromSource|android.permission.UPDATE_DEVICE_STATS, android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|stopScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.le.BluetoothLeScanner|stopScan|android.permission.BLUETOOTH_ADMIN
android.bluetooth.name|cancelBondProcess|android.permission.BLUETOOTH_ADMIN
android.bluetooth.name|createBond|android.permission.BLUETOOTH_ADMIN
android.bluetooth.name|getBatteryLevel|android.permission.BLUETOOTH
android.bluetooth.name|getBondState|android.permission.BLUETOOTH
android.bluetooth.name|getName|android.permission.BLUETOOTH
android.bluetooth.name|getType|android.permission.BLUETOOTH
android.bluetooth.name|isConnected|android.permission.BLUETOOTH
android.bluetooth.name|isEncrypted|android.permission.BLUETOOTH
android.bluetooth.name|removeBond|android.permission.BLUETOOTH_ADMIN
android.bluetooth.object|createInsecureL2capCocSocket|android.permission.BLUETOOTH
android.bluetooth.object|createInsecureRfcommSocketToServiceRecord|android.permission.BLUETOOTH
android.bluetooth.object|createL2capCocSocket|android.permission.BLUETOOTH
android.bluetooth.object|createRfcommSocketToServiceRecord|android.permission.BLUETOOTH
android.bluetooth.object|fetchUuidsWithSdp|android.permission.BLUETOOTH
android.bluetooth.object|getBluetoothClass|android.permission.BLUETOOTH
android.bluetooth.object|getMetadata|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.object|getUuids|android.permission.BLUETOOTH
android.bluetooth.object|isInSilenceMode|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.object|setMetadata|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.object|setPairingConfirmation|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.object|setPhonebookAccessPermission|android.permission.BLUETOOTH_PRIVILEGED
android.bluetooth.object|setSilenceMode|android.permission.BLUETOOTH_PRIVILEGED
android.content.ContentProviderClient|setDetectNotResponding|android.permission.REMOVE_TASKS
android.content.ShortcutIconResource|isAccessUriMode|android.permission.START_VIEW_PERMISSION_USAGE, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.MANAGE_ROLE_HOLDERS, android.permission.REVIEW_ACCESSIBILITY_SERVICES
android.content.name|bindServiceAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.name|bindServiceAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.name|startForegroundServiceAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.name|startServiceAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.name|stopServiceAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.of|getTargetSdkVersion|android.permission.CACHE_CONTENT
android.content.of|putCache|android.permission.CACHE_CONTENT
android.content.om.OverlayManager|getOverlayInfosForTarget|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.INTERACT_ACROSS_USERS
android.content.om.OverlayManager|setEnabled|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.INTERACT_ACROSS_USERS
android.content.om.OverlayManager|setEnabledExclusiveInCategory|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.INTERACT_ACROSS_USERS
android.content.pm.CrossProfileApps|startActivity|android.permission.INTERACT_ACROSS_PROFILES
android.content.pm.DexModuleRegisterCallback|getHarmfulAppWarning|android.permission.SET_HARMFUL_APP_WARNINGS
android.content.pm.DexModuleRegisterCallback|setHarmfulAppWarning|android.permission.SET_HARMFUL_APP_WARNINGS
android.content.pm.NameNotFoundException|addWhitelistedRestrictedPermission|android.permission.WHITELIST_RESTRICTED_PERMISSIONS
android.content.pm.NameNotFoundException|getApplicationInfoAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.NameNotFoundException|getDeclaredSharedLibraries|android.permission.ACCESS_SHARED_LIBRARIES
android.content.pm.NameNotFoundException|getInstalledPackagesAsUser|android.permission.INTERACT_ACROSS_USERS_FULL
android.content.pm.NameNotFoundException|getPackageInfoAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.NameNotFoundException|getPermissionFlags|android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.GET_RUNTIME_PERMISSIONS, android.permission.GRANT_RUNTIME_PERMISSIONS
android.content.pm.NameNotFoundException|grantRuntimePermission|android.permission.GRANT_RUNTIME_PERMISSIONS
android.content.pm.NameNotFoundException|isInstantApp|android.permission.ACCESS_INSTANT_APPS
android.content.pm.NameNotFoundException|removeWhitelistedRestrictedPermission|android.permission.WHITELIST_RESTRICTED_PERMISSIONS
android.content.pm.NameNotFoundException|revokeRuntimePermission|android.permission.REVOKE_RUNTIME_PERMISSIONS
android.content.pm.NameNotFoundException|updatePermissionFlags|android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.GRANT_RUNTIME_PERMISSIONS
android.content.pm.PackageInstaller|installExistingPackage|android.permission.INSTALL_PACKAGES, android.permission.INSTALL_EXISTING_PACKAGES
android.content.pm.PackageInstaller|setPermissionsResult|android.permission.INSTALL_PACKAGES
android.content.pm.PackageInstaller|uninstall|android.permission.DELETE_PACKAGES, android.permission.REQUEST_DELETE_PACKAGES
android.content.pm.PackageInstaller|uninstall|android.permission.DELETE_PACKAGES, android.permission.REQUEST_DELETE_PACKAGES
android.content.pm.PackageInstaller|uninstall|android.permission.DELETE_PACKAGES, android.permission.REQUEST_DELETE_PACKAGES
android.content.pm.Session|commitTransferred|android.permission.INSTALL_PACKAGES
android.content.pm.SessionParams|setAllocateAggressive|android.permission.ALLOCATE_AGGRESSIVE
android.content.pm.SessionParams|setGrantedRuntimePermissions|android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS
android.content.pm.SessionParams|setInstallAsApex|android.permission.INSTALL_PACKAGES
android.content.pm.SessionParams|setStaged|android.permission.INSTALL_PACKAGES
android.content.pm.ShortcutManager|getShareTargets|android.permission.MANAGE_APP_PREDICTIONS
android.content.pm.has|queryIntentActivitiesAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.name|addOnPermissionsChangeListener|android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS
android.content.pm.name|deletePackage|android.permission.DELETE_PACKAGES
android.content.pm.name|deletePackageAsUser|android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.DELETE_PACKAGES
android.content.pm.name|getDefaultBrowserPackageNameAsUser|android.permission.INTERACT_ACROSS_USERS_FULL
android.content.pm.name|getIntentVerificationStatusAsUser|android.permission.INTERACT_ACROSS_USERS_FULL
android.content.pm.name|getUnsuspendablePackages|android.permission.SUSPEND_APPS
android.content.pm.name|installExistingPackageAsUser|android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.INSTALL_EXISTING_PACKAGES
android.content.pm.name|queryBroadcastReceiversAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.name|queryIntentContentProvidersAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.name|queryIntentServicesAsUser|android.permission.INTERACT_ACROSS_USERS
android.content.pm.name|removeOnPermissionsChangeListener|android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS
android.content.pm.name|setApplicationEnabledSetting|android.permission.CHANGE_COMPONENT_ENABLED_STATE
android.content.pm.name|setComponentEnabledSetting|android.permission.CHANGE_COMPONENT_ENABLED_STATE
android.content.pm.name|setDefaultBrowserPackageNameAsUser|android.permission.SET_PREFERRED_APPLICATIONS, android.permission.INTERACT_ACROSS_USERS_FULL
android.content.pm.name|setDistractingPackageRestrictions|android.permission.SUSPEND_APPS
android.content.pm.name|setPackagesSuspended|android.permission.SUSPEND_APPS
android.content.pm.name|setPackagesSuspended|android.permission.SUSPEND_APPS
android.content.pm.name|setSyntheticAppDetailsActivityEnabled|android.permission.CHANGE_COMPONENT_ENABLED_STATE
android.content.pm.name|setUpdateAvailable|android.permission.INSTALL_PACKAGES
android.content.pm.name|updateIntentVerificationStatusAsUser|android.permission.SET_PREFERRED_APPLICATIONS
android.content.pm.name|verifyIntentFilter|android.permission.INTENT_FILTER_VERIFICATION_AGENT
android.content.rollback.RollbackManager|commitRollback|android.permission.TEST_MANAGE_ROLLBACKS, android.permission.MANAGE_ROLLBACKS
